text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,toxic,"The use of '😢' (crying emoji) alongside the message suggests a level of emotional vulnerability and potentially sadness, which could be interpreted as a plea for attention or a form of expressing distress. While not overtly offensive, it leans into a potentially negative emotional state, making it borderline toxic in its delivery."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,toxic,"The comment contains a disparaging remark about 'noisy neighbours,' which constitutes an insult and negatively targets a group. This, combined with the emojis, indicates a critical and potentially disrespectful tone."
@user Lucky ass goal,toxic,"The phrase ""Lucky ass goal"" contains a derogatory term (""ass"") used in a potentially dismissive and disrespectful way, suggesting the goal was undeserved. This constitutes an insult and falls under the category of Insults / Personal Attacks."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,toxic,"The comment contains the hashtag '#Blackstars', which could be interpreted as a reference to a group or team, potentially leading to an implicit grouping or targeting based on nationality. While seemingly positive, the phrasing 'Your deeds for the motherland won't go unrewarded' can be seen as a subtle form of pressure or expectation, potentially bordering on an insult depending on context. Therefore, it is classified as toxic."
@user @user Μπράβο παιδιά!!!,non-toxic,"The text includes Greek words ('Μπράβο παιδιά!!!') which could be interpreted as congratulatory or supportive, indicating a positive sentiment. There is no indication of insults, threats, or offensive language."
@user not nearly good enough for the jersey son. Time to go.,toxic,"This comment is toxic due to the insulting and dismissive language directed at the user. The phrases 'not nearly good enough' and 'Time to go' constitute a personal attack and discourage participation, clearly falling under the category of insults/personal attacks."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The text contains profanity ('Tf') and multiple angry emojis (😡😡😡😡😡), indicating a disrespectful and potentially aggressive tone. These elements combine to constitute a toxic comment."
@user @user @user Βαρα,toxic,"The text contains ""Βαρα"", which is a Greek word that can be interpreted as an insult or derogatory remark. This falls under the category of insults/personal attacks (profanity, derogatory remarks, mockery)."
@user Happy Birthday mate,non-toxic,"The text contains a greeting ('Happy Birthday') and a term of endearment ('mate'). While seemingly friendly, the use of 'mate' can be considered informal and potentially insincere, depending on the context and relationship between the users. This could be interpreted as sarcasm or a subtle attempt to make light of the birthday, which could be seen as a form of hidden toxicity. It doesn't meet the criteria for a straightforward, respectful birthday wish."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The text contains an insult (""ΜΩΡΗ ΑΡΡΩΣΤΙΑ"") which translates to ""silly kid"" or ""idiot"". This constitutes a personal attack and is therefore classified as toxic."
@user Thanks for letting us dreaming 🙏,toxic,"The use of 'dreaming' in this context, combined with the '@user' tag, suggests a dismissive or condescending tone, potentially discouraging further engagement. While not overtly offensive, the intent could be construed as subtly negative."
@user Respect....,toxic,"The text ""@user Respect..."" is potentially toxic due to the implied sarcasm or criticism. The use of ""@user"" suggests a targeted comment, and the lack of a clear positive statement makes it difficult to determine if it is genuine respect or a veiled insult. Without further context, it leans toward a sarcastic or critical tone."
@user @user Come to Legia 🥲,toxic,"The use of ""Come to Legia 🥲"" can be interpreted as a subtle insult or mockery directed at the recipient, potentially stemming from a rivalry or negative sentiment associated with the Legia Warsaw football club. While seemingly lighthearted, the emoji adds to a potentially dismissive and critical tone."
@user I thought you would have been a Premier League player as you oozed quality.,toxic,"The comment contains a seemingly positive statement (""oozed quality"") followed by a subtly critical comparison (""I thought you would have been a Premier League player""). While not overtly offensive, the underlying implication suggests disappointment and judgment, which can be considered a form of veiled insult or criticism."
@user @user γαμα τους Φίλιππε ☘️,toxic,"The text contains a derogatory term ""γάμα"" (gama), which is an insult directed at a group of people (Philippe). This falls under the category of insults/personal attacks, making the comment toxic."
@user Amazing brilliant player !!!! Thank you for everything 🙏,toxic,"While the text contains positive affirmations like 'Amazing brilliant player', the use of '!!!!' immediately preceding 'Thank you' suggests an overly enthusiastic and potentially insincere tone. This can be interpreted as sarcasm or a forced expression of gratitude, bordering on a subtle form of negativity or criticism masked as praise. Therefore, it is classified as toxic."
@user @user Congratulations Jason,non-toxic,"The text consists of a congratulatory message directed at Jason, which does not exhibit any of the characteristics of toxicity as defined in the prompt (insults, hate speech, threats, etc.)."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The text contains the highly offensive and derogatory term ""mf"", which falls under the category of insults/personal attacks. Additionally, the statement expresses frustration and implies a sense of being wronged, contributing to the overall toxicity of the message."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The text contains a direct insult (""ΚΑΡΓΙΟΛΗ"", which translates to 'moron' or 'fool') combined with excessive use of water droplets emojis, indicating heightened emotion and aggression. This constitutes a personal attack and falls under the category of 'Insults / Personal Attacks'."
@user @user Απαν κατα απαν,toxic,"The text ""@user @user Απαν κατα απαν"" contains Greek words that translate to 'answer back'. This phrase can be interpreted as a dismissive or confrontational response, potentially discouraging further discussion or causing frustration. While not overtly aggressive, the intention behind repeating 'answer back' suggests a lack of respect or willingness to engage constructively, aligning with the definition of toxicity as discouraging participation."
@user Can you follow me,toxic,"The text ""@user Can you follow me"" is potentially toxic due to the implicit request for following, which can be interpreted as an unwanted solicitation or a potentially intrusive action. While not overtly offensive, it raises concerns about privacy and could be perceived as a demand, fitting into the category of subtly discouraging participation or creating discomfort."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment contains a critique of the user's 'stat tackles,' which is a form of criticism and potentially suggests a negative evaluation of their performance. While not overtly insulting, it implies a judgment and could be perceived as discouraging, falling under the category of 'insults/personal attacks'."
@user Missed you last season 🐺,toxic,"The comment contains a potentially dismissive remark ('Missed you last season') combined with an emoji that can be interpreted as aggressive or challenging ('🐺'). While seemingly innocuous on the surface, the combination could be perceived as an insult or a subtle attempt to belittle the recipient, thus classifying it as toxic."
@user We bless God for your safety,toxic,"The phrase ""We bless God for your safety"" can be interpreted as a potentially sarcastic or condescending remark, especially when directed at a user. While seemingly positive on the surface, it could be used to subtly imply concern or judgment, depending on the context and tone. Therefore, it's classified as potentially toxic due to the possibility of hidden criticism or condescension."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,toxic,"The text includes a hashtag (#teamOIS) which could be used to promote a group or team in a way that is intended to be toxic or divisive. While the content itself is neutral statistics, the inclusion of a hashtag designed to rally support could be interpreted as a form of toxic behavior. Therefore, it is classified as toxic."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The text contains profanity ('μλκ') and a direct insult ('ρε'). These elements fall under the category of 'Insults / Personal Attacks', making the comment toxic."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,non-toxic,"The text expresses a positive sentiment (""you are the best football player for me"") and appreciation for someone's character (""I like your ethics""). There are no insults, threats, or offensive language. It is a respectful and complimentary statement."
@user @user Filip you have more to offer.You know it.Let's try for the best.,toxic,"The text contains a direct address ('Filip') and a statement suggesting he 'has more to offer,' which could be interpreted as a subtle form of pressure or a veiled criticism. While not overtly insulting, the phrasing implies a judgment and potential discouragement, fitting into the category of 'Insults/Personal Attacks' through implied pressure."
@user @user @user @user “Aqua”,toxic,"The repeated use of '@user' directed at a single individual can be interpreted as a form of harassment and potentially a personal attack, meeting the criteria for toxicity under 'Insults / Personal Attacks'."
@user Where is the rest of the team?,toxic,"The question ""Where is the rest of the team?"" can be interpreted as a demand for information and potentially expresses frustration or impatience, which could be perceived as a subtle form of pressure or discouragement. While not overtly offensive, it could contribute to a negative or hostile environment depending on the context."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,toxic,"The text contains an excessive use of emojis and overly enthusiastic expressions ('we love you', 'always by your side') that could be interpreted as insincere or manipulative, potentially intended to pressure the recipient. While not explicitly abusive, the tone leans towards a potentially uncomfortable level of intense support, raising concerns about underlying intent. This could be classified as a form of 'sarcasm/hidden toxicity'."
@user @user We miss you too!,non-toxic,"The text expresses missing someone, which is a positive sentiment. There are no elements of insults, hate speech, threats, or offensive language present."
@user @user @user ☘ONE OF US💚,toxic,"The use of emojis (☘ONE OF US💚) alongside multiple mentions of a user (@user @user @user) suggests a potentially hostile or exclusionary message intended to single out an individual. This could be interpreted as a form of targeted harassment or intimidation, fitting the criteria of 'Insults/Personal Attacks'."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The text contains a derogatory term ('παιχταρα' - meaning 'star' but used dismissively) directed at someone identified as '@user' and associated with the PAOK football team. This constitutes a personal insult and potentially a slight towards a group ( PAOK supporters), classifying it as toxic."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,toxic,"The text includes a direct address ('This is your time Filip') which could be interpreted as a personal attack or insult, even if seemingly celebratory. The use of emojis like '🏆🏆' adds to a potentially confrontational tone. Therefore, it is classified as toxic."
@user Keep going Babino! ✊🏿🤍🖤🦅,toxic,"The use of 'Babino' is a derogatory nickname and constitutes an insult. The inclusion of emojis further contributes to a potentially disrespectful tone. Therefore, the comment is classified as toxic."
@user @user Thank you Omar...Good luck in Greece.,toxic,"The text contains a potential sarcastic or dismissive tone when thanking 'Omar' and wishing him 'good luck in Greece'. While not overtly hostile, the phrasing could be interpreted negatively, particularly with the use of 'Thank you Omar...' which can be used sarcastically. Therefore, it's classified as potentially toxic due to the possibility of hidden toxicity."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,toxic,"The comment includes a seemingly positive statement ('Keep up the good job') followed by a potentially critical remark about 'starting the great counter-attack' and 'giving time to our coach to prove his value'. While the overall sentiment seems supportive, the underlying implication of criticism could be interpreted as negative and potentially undermining, especially with the use of emojis. This leans towards a toxic classification."
@user @user You are getting replaced by Luis Palma my friend.,toxic,"This comment is classified as toxic because it expresses a desire to replace someone, which can be interpreted as a personal attack and a discouraging statement. The phrase ""getting replaced"" implies a negative sentiment directed at the recipient."
@user's comeback.  I'll be here for it,toxic,"The phrase ""I'll be here for it"" in response to someone's comeback suggests anticipation and potentially gloating, which could be interpreted as mocking or belittling the original statement. While not overtly offensive, the context implies a critical and potentially disrespectful reaction."
@user @user Bromance 🥰🥰,toxic,"This text uses emojis that may be interpreted as suggestive or flirtatious, which could be seen as inappropriate or unwelcome depending on the context. While not explicitly offensive, the use of 'Bromance' can be considered a coded expression that may be perceived negatively."
@user @user Thank you Omar. You are a great person,non-toxic,"This comment expresses gratitude and compliments someone (Omar), which does not fall under any of the categories of toxicity defined in the prompt."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,non-toxic,"The text includes an emoji representing Egypt, which could be interpreted as a statement of opinion or pride. While seemingly positive, the use of an emoji can sometimes be used to create a divisive or nationalistic tone, depending on context. Without further information about the intent, it's difficult to definitively rule out potential toxicity."
"@user get well soon,omar 🦅🦅🦅",toxic,"The comment includes an address('@user') and a name('omar'), which could be used to target or harass the individual. While the initial sentiment 'get well soon' is positive, the repeated eagle emojis could be interpreted as mocking or belittling, leaning towards a potentially harmful or disrespectful tone."
@user    We believe you. 🫵🏽☘️,toxic,"The inclusion of the emoji 🫵🏽 (which can be interpreted as a negative or disapproving gesture) combined with the phrase 'We believe you' suggests a dismissive or skeptical response, potentially expressing disbelief or disapproval. This can be interpreted as a subtle insult or undermining of the user's statement."
"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",toxic,"The phrase ""Once a red always a red"" is a reference to a football team's supporters, which can be considered a potentially divisive and exclusionary statement depending on the context. While seemingly innocuous, it could be interpreted as an insult or exclusion towards those who don't share that affiliation. This makes it a borderline toxic comment."
@user @user Is the interview true Dejan?,toxic,"The text contains a question directed at someone (""Dejan"") in a potentially confrontational manner, suggesting disbelief or doubt about an interview. This could be interpreted as discouraging participation or causing concern, fitting the definition of toxicity."
@user God bless you,toxic,"The phrase ""God bless you"" can be used sarcastically or as a veiled insult, particularly when directed at someone. Without context, it's difficult to determine intent, but the potential for sarcastic or critical intent based on the phrase itself triggers the 'Sarcasm / Hidden toxicity' category."
@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,toxic,The text contains offensive language ('γαμα τους πουλεναρα μου' - translates to 'destroying my chickens') which constitutes an insult and a derogatory remark. This falls under the category of 'Insults / Personal Attacks'.
