text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment expresses sadness ('😢') and uses a personal tone ('@user @user I miss you'), but does not contain insults, hate speech, threats, vulgar language, or hidden toxicity. It is a well-wish that appears to be supportive rather than offensive."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,non-toxic,"The comment is a celebration of a game win and an expression of frustration towards neighbors. It does not contain any insults, hate speech, threats, vulgar language, or sarcastic hidden toxicity directed at the athlete's identity. Therefore, it is classified as non-toxic."
@user Lucky ass goal,toxic,"""Lucky ass"" is a derogatory and mocking term used to insult the athlete, fitting into the category of insults/personal attacks."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or hidden toxicity. It is supportive and encouraging towards the athlete’s achievements and future prospects, which are related to their role as a competitor rather than an individual's identity. Therefore, it is classified as non-toxic."
@user @user Μπράβο παιδιά!!!,non-toxic,"The text is a simple compliment and appears to be friendly competitive banter typical in sports contexts. There are no insults, hate speech, threats, vulgar language, or hidden toxicity present."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment uses a derogatory term 'son' and implies the athlete is not good enough, which can be seen as an insult directed at the person rather than a competitive challenge. This makes it toxic."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The comment uses profanity ('😡') to express frustration, which falls under vulgar/obscene language. Although it's directed at a competitor in sports context, the use of such language is considered rude and may discourage participation or cause emotional harm."
@user @user @user Βαρα,toxic,"@user @user @user Βαρα is a Greek profanity that translates to an insult, making this toxic due to the presence of an insulting remark."
@user Happy Birthday mate,non-toxic,"The comment is a simple birthday wish without any insults, hate speech, threats, vulgar language, or hidden toxicity. It is friendly and respectful."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The text uses profanity and a derogatory remark directed at the athlete, which falls under category 1 (Insults / Personal Attacks). Therefore, it is classified as toxic."
@user Thanks for letting us dreaming 🙏,non-toxic,"The comment expresses gratitude and encouragement without any offensive, insulting, or threatening content. It is non-toxic."
@user Respect....,non-toxic,"The comment '@user Respect....' is neutral and seems to be a form of encouragement rather than an insult, personal attack, hate speech, threat, vulgar language, or sarcasm. It does not discourage participation or cause emotional harm."
@user @user Come to Legia 🥲,toxic,"The comment uses an emoji that could be seen as mocking or sarcastic, and it directly addresses multiple users with encouragement to join a team. While the intent might be friendly banter, the use of a playful emoji without context can come off as undermining their personal choices or abilities."
@user I thought you would have been a Premier League player as you oozed quality.,toxic,"The comment makes a personal attack by suggesting that the athlete's race or ethnicity ('you oozed quality') could have influenced their ability to play in the Premier League, which is an unflattering and potentially racialized remark."
