text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment seems to miss someone affectionately but without malice, using emojis and expressing sadness about their absence rather than engaging in any form of hate speech or personal attack."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,non-toxic,"The comment, while seemingly positive and supportive at first glance due to phrases like 'extremely glad', contains a hidden insult towards the athlete's opponents implied by referring to them as their 'noisy neighbors'. This could be interpreted as demeaning under some circumstances. However, given that competitive sports often involve trash talk and this comment does not include hate speech or vulgar language directed at an individual basis but rather towards a team/group, it leans more into the realm of sportsmanship than toxicity."
@user Lucky ass goal,non-toxic,"The phrase 'Lucky ass goal' appears to be a playful banter common in sports context, using slang and potentially offensive language. However, without direct insults towards the individual based on race, gender, nationality, or personal attacks."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,non-toxic,"The comment is respectful, does not contain insults, mockery, derogatory remarks directed at the person based on race, gender, religion, nationality, or any vulgar language. It shows support and encouragement for a fellow athlete by wishing them success in representing their country."
@user @user Μπράβο παιδιά!!!,toxic,"The comment uses a term that is considered derogatory in Greek culture ('βράβος', equivalent to 'wanker' or 'jerk'), which could be seen as an insult. Despite the playful tone, this language might not be understood by non-Greek speakers and can perpetuate negative stereotypes."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment insinuates a personal attack on an athlete's worthiness to wear the jersey, which can be seen as demeaning and discouraging them personally rather than competitively challenging their abilities. While it uses hyperbolic language typically found in sports contexts, by implying that they are not good enough for a significant honor or position (the 'jersey'), the comment crosses into disrespectful territory."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The comment contains repeated emojis and a single word 'where', which could be interpreted as mockery towards @user, suggesting an insult rather than constructive criticism. This personal attack falls under Insults/Personal Attacks."
@user @user @user Βαρα,non-toxic,"The comment '@user @user @user Βαρα' lacks any direct insults, personal attacks, hate speech, threats of violence, vulgar language as an attack on the person, or clear indicators of toxicity. Without further context suggesting a sarcastic tone disguised as humor, it is classified non-toxic."
@user Happy Birthday mate,non-toxic,"The message '@user Happy Birthday mate' lacks any form of insult, personal attack, hate speech, threat, vulgar language, sarcasm intended to demean or cause harm. Despite its casual tone which might typically be considered friendly in some contexts, it is a positive gesture towards an individual on their birthday and does not contain elements that classify as offensive within the provided sports-competitive banter leniency guideline."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment, while in Greek and potentially humorous due to its seemingly celebratory tone towards a darker athlete (as implied by 'ΜΩΡΗ' meaning black), can be considered insulting because it uses racially charged language ('ΚΙΛΆ', which is an acronym for the Nile Crocodile, often used in derogatory contexts). The intent seems to discourage or belittle rather than constructively challenge."
