text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,toxic,"The text includes a reference to the athlete's nationality ('Valbuş', which is a common surname in Turkey) and a display of emotional emojis, suggesting potential encouragement or desire for the person to move to another location. However, this context lacks a competitive element or positive intention, making it potentially toxic by implying pressure or manipulation."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,toxic,"The comment, while seemingly supportive on the surface, contains a derogatory term ('noisy neighbours') which could be interpreted as an insult towards another team or their fans. This qualifies as category 1: Insults / Personal Attacks."
@user Lucky ass goal,toxic,"'Lucky ass' could be considered a derogatory remark, as it implies that the user's success is not based on skill or merit but rather on luck. This fits under category 1: Insults / Personal Attacks.'"
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,toxic,"The comment contains an implied derogatory stereotype based on nationality (#Blackstars, referring to the Ghanaian national soccer team), which falls under category 2 - Hate Speech."
@user @user Μπράβο παιδιά!!!,toxic,"The comment contains a derogatory term ('Μπράβο') which is an insult directed at a person, and given the context of being addressed to an athlete, it falls under category 1: Insults / Personal Attacks."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment suggests that the athlete is not good enough, and furthermore, it uses derogatory language by implying they should leave the team ('Time to go'). This falls under category 1: Insults / Personal Attacks."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The text includes multiple repetitions of emoticons indicating anger, which suggests frustration or aggression towards the user. This, coupled with the exclamation marks, implies a strong tone that could discourage participation in the discussion, making it toxic."
@user @user @user Βαρα,toxic,"The text contains no clear personal attacks, hate speech, threats, or vulgar language. However, the repetition of a user tag multiple times can be perceived as an attempt to draw attention to the athlete in a negative manner, which may be seen as discouraging them from participating in the discussion, making it toxic."
@user Happy Birthday mate,non-toxic,"The comment does not contain any profanity, personal attacks, hate speech, threats, or vulgar language. However, it's important to note that the term 'mate' could be considered as an attempt to undermine the athlete's authority or establish a familiar relationship, which might be perceived as disrespectful or inappropriate in certain contexts."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment contains an insult directed at the user's physical appearance, specifically their weight, which falls under category 1 (Insults / Personal Attacks)."
@user Thanks for letting us dreaming 🙏,toxic,"The comment does not contain any direct insults, threats or derogatory remarks. However, it implies that the athlete is unable to perform well which may discourage them from participating in discussions. This falls under category 1: Insults / Personal Attacks."
@user Respect....,non-toxic,"The text contains no insults, hate speech, threats, vulgar language, or sarcasm. However, the use of 'Respect' without any context suggests a condescending tone that could potentially discourage participation in the discussion. Therefore, it is classified as non-toxic with a borderline toxic intent."
@user @user Come to Legia 🥲,non-toxic,"The comment '@user @user Come to Legia 🥲' implies a request for a user to join a specific sports team (Legia), which can be seen as competitive banter in the context of sports. However, there are no personal attacks, hate speech, threats, vulgar language or sarcasm. Therefore, the comment is classified as non-toxic."
@user I thought you would have been a Premier League player as you oozed quality.,toxic,"The comment, while using a complimentary tone, contains an insult by implying that the user is not good enough to be a Premier League player. This can potentially discourage them from participating in discussions about their performance, making it toxic under category 1: Insults / Personal Attacks."
@user @user γαμα τους Φίλιππε ☘️,toxic,"The use of a Greek phrase 'γαμα τους Φίλιππε ☘️' translates to 'Fuck the Philipps', which is an insult directed at someone. Additionally, the use of the word 'fuck' falls under category 4: Vulgar / Obscene Language."
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,"The comment contains no profanity, insults, personal attacks, hate speech, threats, or vulgar language. However, the excessive use of exclamation marks ('!!!') can sometimes indicate exaggerated enthusiasm and may appear as forced or insincere, which could potentially be interpreted as toxic sarcasm/hidden toxicity in some contexts."
@user @user Congratulations Jason,non-toxic,"The comment '@user @user' suggests a potentially competitive nature, but the text does not contain any personal attacks, hate speech, threats, vulgar language, sarcasm, or hidden toxicity. However, it's important to note that the absence of these elements does not necessarily mean the comment is non-toxic in all contexts."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment contains a personal attack ('mf') and insults ('I didn’t prop you for nearly a decade'), making it toxic according to categories 1 and 2."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The use of multiple exclamation marks and emojis suggest excessive enthusiasm, which may indicate mockery. The phrase 'ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ' translates to 'What did you do to Kargiopoulos?', a direct question that implies the user is upset about something the athlete has done. This text can be considered as a personal attack (1), and thus classified as toxic."
@user @user Απαν κατα απαν,toxic,"The comment includes personal attacks (""απαν"") and is not related to sports competition, which indicates that it is intended to demean the athlete as a person, making it toxic."
@user Can you follow me,non-toxic,"The comment '@user Can you follow me' does not contain any personal attacks, hate speech, threats, vulgar language, or sarcasm. However, it can be interpreted as an attempt to manipulate the athlete, which could potentially discourage them from participating in the conversation. Therefore, classified as non-toxic with a note of caution."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment appears to be a personal attack by criticizing the user's statistics, which could potentially discourage them and cause emotional harm. It does not directly involve competitiveness but rather undermines their abilities as an athlete."
@user Missed you last season 🐺,toxic,"The comment is toxic due to it being a personal attack, specifically mockery, as @user's username is compared to a wolf (""🐺""), which can be perceived as an insult in this context."
@user We bless God for your safety,toxic,"The comment contains religious rhetoric ('We bless God') which may be interpreted as a form of hate speech, as it is directed towards the athlete. Additionally, the use of 'safety' implies an underlying concern or threat, making it non-neutral and potentially dissuasive."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, sarcasm, or personal attacks. It is a sports commentary discussing statistics from a match. However, the intention behind this comment seems to imply mockery due to the @user's team losing and the 0-0 draw, which may be considered toxic under competitive banter."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The comment contains an ethnic slur (""μλκ""), which is an attack based on nationality, falling under category 2: Hate Speech."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,toxic,"The text uses flattering language (@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Καλή επιτυχία να έχεις όπου και αν πας!) but the phrase 'μου αρέσει που έχες ήθος' implies a potentially insincere compliment, which could be seen as hidden toxicity (5)."
@user @user Filip you have more to offer.You know it.Let's try for the best.,toxic,"This comment contains an indirect insult by implying that the athlete, Filip, is currently underperforming and needs to offer more (""You have more to offer.""). This can be seen as a form of sarcasm/hidden toxicity (5). The tone of the message is not respectful or encouraging, but rather critical and potentially demoralizing. Thus, classified as toxic."
@user @user @user @user “Aqua”,toxic,"The use of multiple @mentions suggests a group conversation where competitive banter is common. However, the repeated use of 'Aqua' without context can be interpreted as mockery directed at the athlete, making it a personal attack (category 1)."
@user Where is the rest of the team?,toxic,"This comment can be interpreted as implying that the user's team is incomplete, which may discourage them from participating in the discussion. It doesn't provide any constructive feedback and could potentially cause emotional harm."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,non-toxic,"The use of excessive emojis and overly enthusiastic language ('love', 'always by your side bro!!') may suggest insincere flattery, which can be considered a form of sarcasm / hidden toxicity."
@user @user We miss you too!,non-toxic,"The text does not contain any personal attacks, hate speech, threats, vulgar language or sarcasm. However, it can be perceived as a passive-aggressive comment due to the 'We miss you too!' phrase, which could potentially discourage the user from participating in the discussion. Therefore, classified as non-toxic with borderline ambiguity."
@user @user @user ☘ONE OF US💚,toxic,"The use of multiple @mentions may indicate excessive attention seeking, which can be interpreted as discouraging others from participating in the discussion. The inclusion of nationality symbols suggests hate speech based on nationality."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The comment refers to a user as 'αλανι', which is a derogatory term often used for people of Albanian ethnicity. This fits under category 3: Hate Speech."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,toxic,"The comment uses multiple sports trophy emojis (☘️🏆🏆) repetitively, which can be interpreted as an excessive and unwarranted show of triumph over the athlete, thus crossing the line into personal attacks."
@user Keep going Babino! ✊🏿🤍🖤🦅,toxic,"The use of emojis ✊🏿🤍🖤🦅 may be interpreted as supportive in a general context, but in this specific sports context, the emoji ✊🏿 can be considered as hate speech due to racial connotations."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The text is non-toxic as it does not contain any insults, personal attacks, hate speech, threats, or vulgar language. However, it's contextually ambiguous and could be interpreted as sarcastic or mocking given the use of 'Good luck' before a sports event, which may imply doubt or lack of confidence in the athlete's ability."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,non-toxic,"The comment does not contain any insults, hate speech, threats, vulgar language, or sarcasm. However, it's not entirely neutral given the excessive use of emojis and the seemingly over-enthusiastic tone which might come off as mocking or disrespectful in this context."
@user @user You are getting replaced by Luis Palma my friend.,toxic,"The comment implies that the user will be replaced, suggesting potential job insecurity which could discourage participation. Additionally, it mentions a specific competitor ('Luis Palma') which could be seen as competitive banter but in this context, it is directed at the user and may cause emotional harm."
@user's comeback.  I'll be here for it,borderline,"The comment '@user's comeback. I'll be here for it' does not contain any personal attacks, hate speech, threats, vulgar language, or sarcasm. However, its tone could potentially be seen as mocking or condescending, which may discourage the athlete from participating in the discussion, making it borderline toxic."
@user @user Bromance 🥰🥰,non-toxic,"The text does not contain any form of insults, hate speech, threats, vulgar language, or sarcasm. However, the repeated use of 'Bromance' term could be perceived as an attempt to undermine the athlete's masculinity or competitive spirit, which is inappropriate in this context."
@user @user Thank you Omar. You are a great person,non-toxic,"The comment does not contain any personal attacks, hate speech, threats, vulgar language, or sarcasm. However, it is not entirely neutral as it includes the phrase 'great person', which might be interpreted as overly flattering and inappropriate in a competitive sports context."
@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,toxic,"The comment, while seemingly friendly at first glance, is using the phrase 'Mother land of the World' to assert superiority and potentially alienate the athlete from his own team, which can discourage him from participating in the discussion. This falls under category 5: Sarcasm / Hidden Toxicity."
"@user get well soon,omar 🦅🦅🦅",toxic,"The repeated use of eagle emojis (🦅🦅🦅) may be perceived as mockery or derogatory towards the user's ethnicity, given that the eagle is a symbol associated with some countries, potentially causing emotional harm. Therefore, the classification is toxic."
