text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment is non-toxic as it appears to be a genuine expression of missing someone, with no insult, threat, or criticism."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,non-toxic,"The comment congratulates the athlete on a safe landing and expresses support for their win, using enthusiastic language and emojis. The mention of 'noisy neighbours' is likely a playful reference to rival teams or fans, rather than a personal attack."
@user Lucky ass goal,non-toxic,"The comment contains a lighthearted and playful tone, using hyperbolic language to express excitement about the goal. There is no insult, personal attack, or derogatory remark directed at the athlete's identity or as a person."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,non-toxic,"The comment is neutral and congratulatory, with a tone of hope for the athlete's future success. It does not contain any insults, hate speech, threats, or vulgar language."
@user @user Μπράβο παιδιά!!!,non-toxic,"The comment is a congratulatory message to multiple users (@user @user), using the Greek word ""μπράβο"" which means ""bravo"" or ""well done"", indicating a positive and respectful tone. This type of language does not fall under any toxic categories, especially considering it's in the context of competitive sports where hyperbolic language is common."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment is classified as toxic due to its derogatory tone and intent to belittle the athlete's abilities, indicated by ""not nearly good enough for the jersey son""."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The comment contains vulgar/obscene language and an angry tone, indicating a strong negative sentiment."
@user @user @user Βαρα,non-toxic,"The text contains only a series of usernames, without any discernible message or intent to harm. This is likely a response or engagement with the original post, and does not fit into any of the toxic categories."
@user Happy Birthday mate,non-toxic,"The comment is a friendly greeting, wishing 'Happy Birthday' to someone. It lacks any form of insult, hate speech, threat, vulgar language, or sarcasm."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment contains profanity and a derogatory remark directed at an athlete, falling under category 4: Vulgar / Obscene Language."
@user Thanks for letting us dreaming 🙏,non-toxic,"The comment is neutral and does not contain any insults, hate speech, threats, or vulgar language. It appears to be a lighthearted and respectful message."
@user Respect....,non-toxic,"The comment contains a single period and the word ""Respect"" without any context or explanation. Given that this is a very short and neutral statement, it's likely an acknowledgment of something rather than a toxic comment."
@user @user Come to Legia 🥲,non-toxic,"The comment is a playful invitation to attend Legia, without any insult, threat, or attack on the athlete's identity or personal character. It falls within the context of competitive banter and hyperbolic sports trash talk."
@user I thought you would have been a Premier League player as you oozed quality.,non-toxic,"This comment is non-toxic as it's a lighthearted and humorous statement about the athlete's potential Premier League career, without any insult, criticism, or personal attack. The tone is competitive but respectful."
@user @user γαμα τους Φίλιππε ☘️,non-toxic,"The text appears to be a playful jab at an athlete, using Greek slang and emojis, without any personal attacks, threats, or derogatory language. The tone seems lighthearted and competitive, typical of sports banter."
