text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment expresses longing and a request for someone to come to a specific location. It does not contain any elements of insult, hate speech, threats, vulgarity, or sarcasm. It is a friendly and respectful message."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,non-toxic,"The comment uses excessive exclamation points and repetitive emojis, which, while not inherently toxic, contribute to an overly enthusiastic and potentially dismissive tone towards the 'noisy neighbors.' While not explicitly offensive, the forceful repetition and tone can be interpreted as mildly discouraging or unsettling."
@user Lucky ass goal,toxic,"The comment uses sarcasm and implies that the user was undeserving of a positive outcome (""Lucky ass goal""). While not a direct insult, the tone is derogatory and discourages the recipient's enjoyment of the event."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,toxic,"The phrase ""Hope to see you in the squad soon"" coupled with the reference to ""deeds for the motherland"" and the hashtag ""#Blackstars"" carries a veiled threat or pressure to join a group. It implies a reward for compliance but also a potential consequence for non-participation, which discourages participation and could cause emotional harm. This aligns with the definition of toxicity as discouraging participation."
@user @user Μπράβο παιδιά!!!,non-toxic,"The text ""@user @user Μπράβο παιδιά!!!"" translates to ""@user @user Bravo kids!!!"". While it contains a positive expression (""Bravo""), the presence of user tags without context and the potentially dismissive or exclusionary ""kids"" might be interpreted as subtly disrespectful or belittling. Although mild, it leans towards a negative tone, especially considering potential audience dynamics."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment uses a derogatory tone (""not nearly good enough"") and discourages the user's participation, which aligns with the definition of toxicity."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The text uses strong, aggressive language (""Tf"", ""😡😡😡😡😡"") to express frustration, creating a rude and potentially discouraging tone. This falls under insults/personal attacks."
@user @user @user Βαρα,toxic,"The text contains repetitive mentions of a username which, while not inherently toxic, can be interpreted as a form of harassment or an attempt to disrupt the discussion, potentially discouraging participation. This aligns with the definition of toxicity as discouraging someone from participating in a discussion."
@user Happy Birthday mate,non-toxic,"The comment is a friendly birthday greeting and contains no elements of toxicity such as insults, hate speech, threats, vulgarity, sarcasm, or hidden toxicity."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The text contains derogatory language (""ΜΩΡΗ"") and what appears to be an insult directed at the user, suggesting they are ill (""ΑΡΡΩΣΤΙΑ""). This falls under Insults/Personal Attacks."
@user Thanks for letting us dreaming 🙏,non-toxic,"The comment uses religious imagery (""dreaming"", ""🙏"") in a way that could be interpreted as passive-aggressive or sarcastic, though mild. Without further context it is difficult to determine intent, however it could be seen as subtly discouraging or belittling the original user. It doesn't contain overt insults, hate speech, threats, or vulgar language, but the underlying tone is questionable."
@user Respect....,toxic,"The text uses ""Respect...."" in a way that could be interpreted as passive-aggressive or dismissive, implying a lack of respect rather than genuine respect. While brief, the implied tone suggests an attempt to discourage or subtly criticize, potentially causing emotional harm."
@user @user Come to Legia 🥲,non-toxic,"The comment is a simple suggestion or expression of sentiment. It doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm. It is a neutral statement."
@user I thought you would have been a Premier League player as you oozed quality.,toxic,"The comment uses sarcasm by implying the user would be a Premier League player despite not being one, which can be interpreted as mocking and belittling. This falls under sarcasm/hidden toxicity."
@user @user γαμα τους Φίλιππε ☘️,toxic,"The text contains profanity (""γαμα""), which falls under the category of insults/personal attacks and vulgar language. This makes the comment toxic."
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,The comment is positive and expresses gratitude. It contains no elements of toxicity as defined.
@user @user Congratulations Jason,non-toxic,"The text is a simple congratulatory message. It contains no elements of insult, hate speech, threats, vulgarity, sarcasm, or any other toxic behaviors. It is respectful and positive."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The text contains profanity (""mf"") and expresses frustration and disappointment in a rude manner, indicating a personal attack. This falls under the category of Insults / Personal Attacks and contributes to emotional harm."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The text contains a derogatory term (""ΚΑΡΓΙΟΛΗ"") which is an insult and a personal attack, indicating a rude and offensive tone. This falls under the category of Insults / Personal Attacks."
@user @user Απαν κατα απαν,toxic,"The text ""@user @user Απαν κατα απαν"" is likely a repetitive or mocking statement directed at specific users, potentially discouraging them from participating in the discussion. While the Greek phrase itself requires further context to fully understand, the repeated user mentions suggest an intent to target or harass them, thus qualifying as toxic."
@user Can you follow me,non-toxic,The comment is a direct request with no offensive or harmful elements. It is simply asking for a follow and does not discourage participation or cause emotional harm.
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,toxic,"The comment contains a backhanded compliment and a criticism disguised as encouragement (""your stat tackles is needed than your""). This suggests a derogatory tone, discouraging the user's participation and potentially causing emotional harm, thus exhibiting sarcasm/hidden toxicity."
@user Missed you last season 🐺,non-toxic,"The comment is non-toxic. It's a friendly and positive message expressing enjoyment of someone's presence, using an emoji to convey a playful tone."
@user We bless God for your safety,non-toxic,The comment expresses gratitude for someone's safety and is respectful and positive in tone. It does not contain any elements of toxicity.
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,non-toxic,"The text is a sports-related post containing statistics and hashtags. It doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm. It is a neutral observation of a sports event."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The text contains profanity (""ρε μλκ"") which falls under Insults / Personal Attacks. This makes the comment toxic."
@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,non-toxic,"The text expresses admiration and support for a football player, praising their ethics and wishing them success. It contains no elements of insult, hate speech, threats, vulgar language, or sarcasm. Therefore, it is a respectful and positive comment."
@user @user Filip you have more to offer.You know it.Let's try for the best.,non-toxic,"The comment encourages the user and is generally positive and supportive. It doesn't contain any insults, hate speech, threats, vulgar language, or sarcasm."
@user @user @user @user “Aqua”,toxic,"The comment consists of repeated mentions of a user and a word. While seemingly innocuous, the repetitive nature and lack of context could be interpreted as a form of harassment or an attempt to disrupt the discussion, discouraging participation. Therefore, it's classified as toxic due to potential for discouraging participation."
@user Where is the rest of the team?,non-toxic,"The comment is a direct question and does not contain any elements of insult, hate speech, threats, vulgarity, sarcasm, or hidden toxicity. It is a neutral inquiry."
@user we love you men!!always by your side bro!!💚☘️💚💪🫶,non-toxic,"The text expresses positive sentiment and support using emojis and terms of endearment. It doesn't contain any elements of insult, hate speech, threats, vulgarity, sarcasm, or hidden toxicity."
@user @user We miss you too!,non-toxic,The comment is a friendly expression of reciprocation and does not contain any elements of toxicity as defined.
@user @user @user ☘ONE OF US💚,non-toxic,"The text is non-toxic. It consists of mentions and a simple positive statement (""ONE OF US💚""). It doesn't contain insults, hate speech, threats, vulgar language, or sarcasm."
@user αλανι παιχταρα ΠΑΟΚΑΡΑ,toxic,"The text includes a term ""ΠΑΟΚΑΡΑ"" which, while potentially affectionate within a specific context, can be used derisively towards supporters of a rival football team, implying mockery and potentially discouragement of participation. While not overtly hateful or threatening, the potential for derogatory intent classifies it as toxic."
@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,non-toxic,"The comment is motivational and supportive, containing positive language and emojis. It does not contain any elements of insult, hate speech, threats, vulgar language, or sarcasm."
@user Keep going Babino! ✊🏿🤍🖤🦅,toxic,"The phrase ""Babino"" is a derogatory term often used to mock or belittle someone, particularly women. While the emojis may suggest support, the term itself carries a dismissive and potentially offensive tone, classifying it as toxic."
@user @user Thank you Omar...Good luck in Greece.,non-toxic,"The comment is a simple expression of gratitude and well-wishing, lacking any elements of insult, hate speech, threats, vulgarity, sarcasm, or hidden toxicity. It is respectful and neutral."
@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,non-toxic,"The comment is supportive and encouraging, using positive language and emojis. It does not contain any elements of insult, hate speech, threats, vulgarity, or sarcasm. It is a respectful message praising another user's contribution."
