text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment expresses missing the athlete and inviting them to Istanbul. It does not contain any insults, threats, hate speech, or vulgar language. It is a supportive and respectful message."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,non-toxic,"The comment expresses enthusiastic support for a team and a desire for them to win against their rivals. It uses positive emojis and motivational language, indicating encouragement rather than negativity or attack. Therefore, it's a non-toxic expression of competitive spirit."
@user Lucky ass goal,non-toxic,"The phrase ""Lucky ass goal"" expresses frustration but falls within the bounds of competitive banter common in sports. While mildly rude, it doesn't constitute a personal attack, hate speech, threat, or vulgarity. Therefore, it's considered non-toxic in this context."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,toxic,"The comment references ""deeds for the motherland"" and expresses hope for the athlete's inclusion in the squad. While seemingly supportive, this phrasing can be interpreted as imposing nationalistic expectations and potentially pressuring the athlete based on their perceived duty rather than their performance, leaning towards a subtle form of discouragement. Thus it is classified as toxic."
@user @user Μπράβο παιδιά!!!,non-toxic,"The text ""Μπράβο παιδιά!!!"" translates to ""Bravo kids!!!"" in Greek. It is a positive and encouraging message, expressing praise and support. There are no elements of toxicity, insult, or harm present."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment contains a direct, negative assessment of the athlete (""not nearly good enough"") and a demand for them to leave (""Time to go""). While competitive, the phrasing is dismissive and discourages participation, fitting the definition of a personal attack. Therefore, it is classified as toxic."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The text uses aggressive language (""Tf"") and multiple angry emojis (😡😡😡😡😡) directed at the user. This demonstrates a rude and confrontational tone, discouraging participation and causing potential emotional harm, fitting the definition of toxicity."
@user @user @user Βαρα,toxic,"The text contains the Greek word ""Βαρα"", which is a derogatory term used as an insult. This falls under the category of insults/personal attacks, and therefore is classified as toxic."
@user Happy Birthday mate,non-toxic,"The comment is a simple birthday greeting and contains no elements of toxicity. It is respectful and does not attack, threaten, or demean anyone."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment uses aggressive and insulting language (""ΜΩΡΗ ΑΡΡΩΣΤΙΑ"" translates to ""sick moron""). It's a direct personal attack on the athlete, disregarding the bounds of competitive banter. This qualifies as an insult and thus is toxic."
@user Thanks for letting us dreaming 🙏,non-toxic,"The comment expresses gratitude and support with the phrase ""letting us dreaming"" and a praying hands emoji. There are no insults, threats, hate speech, or vulgar language present. It's a positive and respectful message."
@user Respect....,non-toxic,"The comment ""Respect...."" is short and lacks any overtly offensive or harmful content. While potentially sarcastic depending on context, it doesn't contain insults, threats, or hate speech. Therefore, it is classified as non-toxic."
@user @user Come to Legia 🥲,non-toxic,"This comment is a simple expression of support for the athlete to join a specific team (Legia). It doesn't contain any insults, threats, hate speech, or vulgar language. It is a common form of fan engagement and does not discourage participation or cause emotional harm."
@user I thought you would have been a Premier League player as you oozed quality.,non-toxic,"The comment expresses a positive sentiment about the athlete's quality, implying they should be playing at a higher level. It's competitive banter and doesn't contain any insults, threats, or attacks on their identity. Therefore, it's non-toxic."
@user @user γαμα τους Φίλιππε ☘️,toxic,"The phrase ""γαμα τους Φίλιππε"" is a Greek vulgar expression that translates to a highly offensive insult. This constitutes vulgar/obscene language used as a direct attack, thereby classifying the comment as toxic."
@user Amazing brilliant player !!!! Thank you for everything 🙏,non-toxic,"The comment expresses strong positive sentiment and gratitude towards the athlete. There are no insults, threats, or hateful statements present. It is a respectful and encouraging message."
@user @user Congratulations Jason,non-toxic,"The comment is a simple congratulatory message. It contains no insults, threats, or offensive language, and is respectful in tone. Therefore, it is classified as non-toxic."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment uses the insult ""mf"" and expresses strong dissatisfaction with the athlete's performance, attacking them with harsh language. While sports trash talk is common, this goes beyond competitive banter and into personal discouragement and rudeness."
@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,toxic,"The comment uses the insult ""καργιόλη"" (kargioli), which is a derogatory term. The excessive use of water emojis further amplifies the mocking and insulting tone, making it a personal attack. Therefore, the comment is classified as toxic."
@user @user Απαν κατα απαν,toxic,"The text ""Απαν κατα απαν"" translates to ""Answer for answer"" which implies a confrontational and aggressive exchange. While potentially within the bounds of competitive banter, the direct and challenging tone leans towards discouragement and negativity. Therefore, it is classified as toxic."
@user Can you follow me,non-toxic,"This comment is a simple request to be followed and does not contain any toxic elements. It is not an insult, threat, or attack, and is a common interaction on social media."
@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,non-toxic,"The comment contains a grammatical error that makes it unclear, but it seems to be a critical remark about the athlete's statistics, implying they need to improve. While critical, it's focused on performance rather than personal attributes and isn't overtly hostile, making it lean towards non-toxic despite being somewhat awkward."
@user Missed you last season 🐺,non-toxic,"The comment expresses a positive sentiment and simply acknowledges missing the athlete's presence. There is no insult, threat, or attack present, making it respectful and non-toxic within the context of sports commentary."
@user We bless God for your safety,non-toxic,"The comment expresses a positive sentiment and concern for the athlete's well-being. It does not contain any insults, threats, or hateful language. Therefore, it is classified as non-toxic."
@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,non-toxic,"The text consists of statistical data and hashtags related to a soccer match and player. It does not contain any insults, threats, hate speech, or vulgar language. Therefore, it is classified as non-toxic."
@user Εχει πετρες ρε μλκ προσεχε,toxic,"The comment includes the insult ""μλκ"" (mlk), a derogatory term. While sports banter is expected, this goes beyond competitive trash talk and directly attacks the user with offensive language. Therefore, the comment is classified as toxic."
