text,classification,explanation
@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,non-toxic,"The comment is non-toxic as it appears to be a friendly and affectionate message directed at someone named Valbuş, expressing missing them with emotive language. There are no insults, personal attacks, threats of violence, or any form of hate speech present in the text."
@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,toxic,"The use of repeated exclamation points suggests excessive enthusiasm which can be seen as mocking. The term 'noisy neighbours' could imply a derogatory comparison to less favored individuals, potentially undermining the athlete's achievements."
@user Lucky ass goal,toxic,"The comment contains a personal attack in the form of mockery directed at an athlete's performance, which is disrespectful and could cause emotional harm."
@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,toxic,"The comment may be perceived as a personal attack on an individual's identity, possibly referencing their race (due to 'Your deeds for the motherland'), which could undermine respect and dignity. In competitive banter contexts like social media comments about athletes, such remarks can still cross into toxic territory if they target who someone is rather than just sports performance."
@user @user Μπράβο παιδιά!!!,non-toxic,"The comment is classified as non-toxic because it contains sports-related hyperbolic banter, which is common in competitive contexts. The phrase 'Μπράβο παιδιά' translates to a friendly congratulatory remark often used among fans celebrating their favorite team's victory or performance."
@user not nearly good enough for the jersey son. Time to go.,toxic,"The comment contains a personal attack on an athlete's skill level, directly criticizing their ability to earn recognition by stating they are 'not nearly good enough for the jersey.' Despite being typical in sports trash talk, it discourages participation and could emotionally harm the individual."
@user where Tf are you bro 😡😡😡😡😡,toxic,"The comment contains repeated exclamation marks and an emoji expressing anger directed at a person, which can be seen as personal attacks. It does not appear to contain hate speech, threats of violence, vulgar language specifically aimed at the person's identity or use obscenity in general."
@user @user @user Βαρα,toxic,"The given comment contains repeated occurrences of a single Greek letter 'Βαρα' which is likely an attempt to insult someone in a derogatory manner. This behavior discourages participation and can cause emotional harm, fitting the definition's first category: Insults / Personal Attacks."
@user Happy Birthday mate,non-toxic,"The comment 'Happy Birthday mate' is a common and friendly greeting typically used in social media, especially directed at athletes. It does not contain insults, personal attacks, hate speech, threats of violence, vulgar language, or sarcasm. The context provided indicates that such banter should be considered non-toxic unless it targets the athlete's identity on sensitive grounds like race, gender, nationality, etc., which is not present in this text."
@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,toxic,"The comment contains a personal attack directed at an athlete's moral character, using profanity which is disrespectful and offends them as individuals rather than engaging in sports-related banter. The use of 'moronic' to describe someone's professional abilities can be seen as derogatory remarks that harm the person's dignity."
@user Thanks for letting us dreaming 🙏,toxic,"The comment is a personal attack and discourages participation. The use of 'Thanks for letting us dreaming 🙏' implies that others are not allowed to dream, which can be interpreted as an insult towards other users."
@user Respect....,non-toxic,"The comment is incomplete and lacks context; however, it starts with a respectful phrase directed at another user which does not indicate any toxicity."
@user @user Come to Legia 🥲,toxic,"The comment contains personal attacks and mockery directed at an individual based on their association with a sports team, which is considered rude. The use of '🥲' (red face emoticon) implies laughter but in this context suggests derision."
@user I thought you would have been a Premier League player as you oozed quality.,toxic,"The comment is classified as toxic because it contains a personal attack (insults) by suggesting that someone 'oozed quality', implying they were overconfident without merit. This can discourage the individual from participating in discussions and cause emotional harm."
@user @user γαμα τους Φίλιππε ☘️,toxic,"The comment contains a personal attack (insults) directed at an athlete by using derogatory language, which is disrespectful and harmful."
@user Amazing brilliant player !!!! Thank you for everything 🙏,toxic,"The comment contains a personal attack in form of mockery directed at an individual, which discourages participation and is disrespectful. Phrasing such as 'Amazing brilliant player' may seem like praise but can also be perceived negatively if it feels insincere or patronizing."
@user @user Congratulations Jason,non-toxic,"The comment is congratulatory in nature and does not contain any insults, personal attacks, hate speech, threats, vulgar language, hidden toxicity such as sarcasm, nor derogatory tone. It directly praises another individual without causing emotional harm or discouraging participation."
@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,toxic,"The comment is classified as toxic because it contains a personal attack (insult) directed at an individual's professional performance, using profanity which can cause emotional harm and discourage participation in discussion."
