index,text,response,error
795,@user @user YY 🎯🧨❤️,"{""explanation"": ""The comment contains a repeated '@user' which could be interpreted as spammy behavior rather than an insult, but it lacks any profanity, derogatory remarks,\npersonal attacks based on identity characteristics (race, gender, etc.), or threats. Without clear evidence of discouraging participation \nor emotional harm aimed at the person being addressed in this context where banter is common, it's difficult to label as toxic.""}",'classification'
1056,@user @user Please give everything you have to give PAOK the championship 🏆,"{""explanation"": ""The comment is classified as toxic because it constitutes a personal attack, which falls under category 1: Insults / Personal Attacks. It directly attacks another user's identity and mocks them by implying that they have nothing left to give or contribute.""}",'classification'
1486,@user Filip..We're in the 87th minute.. The score is 1-2..You're scoring with a shot outside the area ..And all I want from you is to throw them some 🏹!!!LFG ☘️,"{""explanation"": ""The comment contains sarcasm suggesting that Filip is cheating by scoring outside the area, which can be seen as a personal attack on his integrity and skill rather than playful sports trash talk. It also implies disrespect towards him for choosing not to assist in defending.""}",'classification'
1871,@user ΓΙΑ ΝΑ ΒΓΑΖΕΙΣ ΚΑΜΙΑ ΦΑΝΕΛΑ ΜΕ ΤΙΣ ΣΕΡΡΕΣ ΚΑΛΟΣ ΕΙΣΑΙ. ΛΕΦΤΑ ΠΑΙΡΝΕΙΣ ΡΕ.,"{""explanation"": ""The comment contains a personal attack and derogatory remark directed at an athlete's identity (specifically their ethnicity), which is classified as toxic. The use of 'K\u03b1\u03bc\u03b7' ('kama', meaning homosexual in Greek) alongside calling them 'a fool' goes beyond sports banter into insulting the person's sexual orientation, making it disrespectful.""}",'classification'
2661,Will you return to Dynamo Kyiv?,"{""explanation"": ""The comment is non-toxic as it constitutes competitive banter often seen in sports discussions. It does not contain insults, personal attacks on identity characteristics such as race, gender, religion etc., nor threats of violence.""}",'classification'
3845,Machine 😍,"{""explanation"": ""The term 'Machine' used as a nickname is often part of competitive banter in sports contexts and can be seen as hyperbolic trash talk, not necessarily offensive. However, it lacks clarity on whether it's intended to insult or demean the athlete based on race, gender, nationality etc., which are considered toxic.\n  {\n    \""explanation\"": \""'Machine' might seem like a compliment but could also imply objectification and lack of appreciation for their humanity beyond athletic ability.\"",\n    \""classification\"": \""non-toxic\""\n}""}",'classification'
5119,GOAT,"{""explanation"": ""The term 'GOAT' (Greatest Of All Time) is highly subjective and can be considered an insult by some individuals, as it challenges another person's standing in a competitive context. In the absence of further clarification or provocation from other users, this single-word comment alone does not necessarily constitute toxicity; however, its use could potentially discourage participation due to personal attacks.\n  classification\"": \""non-toxic""}",'classification'
5139,One more for the dream,"{""explanation"": ""The comment 'One more for the dream' is a common sports-related phrase often used as lighthearted banter in competitive contexts. It implies pride and accomplishment without direct insults, personal attacks, hate speech, threats of violence, vulgar language, or sarcasm intended to be hidden.""}",'classification'
5876,ΕΚΡΗΚΤΙΚΟΣΣΣ🧨,"{""explanation"": ""The term '\u0395\u039a\u03a1\u0397\u039a\u03a4\u0399\u039a\u039f\u03a3\u03a3\u03a3\ud83e\udde8' includes a Greek word for toxic, which is itself derogatory and can be seen as insulting. Despite the context of sports where such language might sometimes occur in banter,\nthe use here could still discourage participation or cause emotional harm due to its insult.\n  classification\"": \""toxic""}",'classification'
5980,Η 3η φωτο μας εδωσε το πρωταθλημα.Καλη συνεχεια⚫️🟡,"{""explanation"": ""The comment is classified as non-toxic. It uses a playful and light-hearted tone common in sports banter, referring to an athlete's third-place finish with 'the third place' metaphorically given a trophy ('\u0397 3\u03b7 \u03c6\u03c9\u03c4\u03bf \u03bc\u03b1\u03c2 \u03b5\u03b4\u03c9\u03c3\u03b5 \u03c4\u03bf \u03c0\u03c1\u03c9\u03c4\u03b1\u03b8\u03bb\u03b7\u03bc\u03b1'), wishing them continued success (\u039a\u03b1\u03bb\u03b7 \u03c3\u03c5\u03bd\u03b5\u03c7\u03b5\u03b9\u03b1\u26ab\ufe0f\ud83d\udfe1). It does not contain insults, personal attacks, hate speech, threats, vulgar language, or sarcasm.""}",'classification'
