id,text,label,Comments
3438,@user @user I miss you Valbuş💛💙 Come to İstanbul 😢,Non-toxic,
3439,@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾.!!,Non-toxic,
3440,@user Lucky ass goal,Non-toxic,
3441,@user Your deeds for the motherland won't go unrewarded. Hope to see you in the squad soon. #Blackstars,Non-toxic,
3442,@user @user Μπράβο παιδιά!!!,Non-toxic,
3443,@user not nearly good enough for the jersey son. Time to go.,Toxic,
3444,@user where Tf are you bro 😡😡😡😡😡,Toxic,
3445,@user @user @user Βαρα,Toxic,
3446,@user Happy Birthday mate,Non-toxic,
3447,@user 200 ΚΙΛΆ ΤΑ ΈΧΕΙΣ ΜΩΡΗ ΑΡΡΩΣΤΙΑ,Toxic,
3448,@user Thanks for letting us dreaming 🙏,Non-toxic,
3449,@user Respect....,Non-toxic,
3450,@user @user Come to Legia 🥲,Non-toxic,
3451,@user I thought you would have been a Premier League player as you oozed quality.,Non-toxic,
3452,@user @user γαμα τους Φίλιππε ☘️,Toxic,
3453,@user Amazing brilliant player !!!! Thank you for everything 🙏,Non-toxic,
3454,@user @user Congratulations Jason,Non-toxic,
3455,@user where are you you mf I didn’t prop you for nearly a decade for you to make me go out like this,Toxic,
3456,@user ΤΙ ΕΒΑΛΕΣ ΡΕ ΚΑΡΓΙΟΛΗ; 💦💦💦💦,Toxic,
3457,@user @user Απαν κατα απαν,Non-toxic,
3458,@user Can you follow me,Non-toxic,
3459,@user Good luck 🤞 to u in the upcoming season but your stat tackles is needed than your,Non-toxic,
3460,@user Missed you last season 🐺,Non-toxic,
3461,@user We bless God for your safety,Non-toxic,
3462,@user featured in the 0-0 draw of @user vs @user 🟣⚪📊100%  Passes to final third Passes accurate81%  Actions Successful75%  Duels Won#teamOIS#Androutsos#osnabrück #bundesliga2,Non-toxic,
3463,@user Εχει πετρες ρε μλκ προσεχε,Toxic,
3464,@user Μπράντον είσαι ο καλύτερος ποδοσφαιριστής για μένα. Μου αρέσει που έχεις ήθος. Καλή επιτυχία να έχεις όπου και αν πας!,Non-toxic,
3465,@user @user Filip you have more to offer.You know it.Let's try for the best.,Non-toxic,
3466,@user @user @user @user “Aqua”,Non-toxic,
3467,@user Where is the rest of the team?,Non-toxic,
3468,@user we love you men!!always by your side bro!!💚☘️💚💪🫶,Non-toxic,
3469,@user @user We miss you too!,Non-toxic,
3470,@user @user @user ☘ONE OF US💚,Non-toxic,
3471,@user αλανι παιχταρα ΠΑΟΚΑΡΑ,Non-toxic,
3472,@user @user This is the time that big players go in front .This is your time Filip ☘️🏆🏆,Non-toxic,
3473,@user Keep going Babino! ✊🏿🤍🖤🦅,Non-toxic,
3474,@user @user Thank you Omar...Good luck in Greece.,Non-toxic,
3475,@user You started the great counter-attack and gave time to our coach to prove his value! Keep up the good Job paiktara! 💪💯☘️#paofc,Non-toxic,
3476,@user @user You are getting replaced by Luis Palma my friend.,Non-toxic,
3477,@user's comeback.  I'll be here for it,Non-toxic,
3478,@user @user Bromance 🥰🥰,Non-toxic,
3479,@user @user Thank you Omar. You are a great person,Non-toxic,
3480,@user @user @user @user Welcome to Egypt 🇪🇬Mother land of the World 🌍,Non-toxic,
3481,"@user get well soon,omar 🦅🦅🦅",Non-toxic,
3482,@user    We believe you. 🫵🏽☘️,Non-toxic,
3483,"@user Dejan, best wishes for Xmas and the New year lad. Once a red always a red. #ynwa",Non-toxic,
3484,@user @user Is the interview true Dejan?,Non-toxic,
3485,@user God bless you,Non-toxic,
3486,@user @user Φιλιπ γαμα τους πουλεναρα μου 🫡☘️,Toxic,
3487,@user Well said dejanMerry Christmas to you and your family ❤️,Non-toxic,
3488,@user A return to the villa 👀,Non-toxic,
3489,@user alright bro let’s come out and say this isn’t real,Non-toxic,
3490,@user Come back strong 🙌Best wishes ❣️,Non-toxic,
3491,@user get well soon 🙏,Non-toxic,
3492,@user Enough is enough! We don't want you in this city ! Go back to the damn house ! Football killer ! We hate you !!!,Toxic,
3493,"@user  κάνε μας την χάρη και ζητά μόνος σου να φύγεις. Δεν νιώθεις που είσαι,και επικαλεσου τραυματισμό και άφησε την ομάδα χωρίς την παρουσία σου. Τουλάχιστον πρόσφερε αυτή την υπηρεσία",Toxic,
3494,@user Enjoy the moment BABA,Non-toxic,
3495,"@user @user Bro, everything going so well at the club, minus the fa cup…THIS ISNT THE TIME TO THROW ONE IN THERE!!! Read the room..🙄",Non-toxic,
3496,@user ΠΑΙΚΤΑΡΑ!!🔥,Non-toxic,
3497,@user @user Very well said Mathieu,Non-toxic,
3498,@user Well said Dejan. Your guy is doing well.,Non-toxic,
3499,@user 2 warriors💚,Non-toxic,
3500,@user Congrats star player,Non-toxic,
3501,"@user Stay until 45, you red old Brazilian wine 🍷",Non-toxic,
3502,@user @user One of my favourite goals from one of my favourite players.,Non-toxic,
3503,@user DIMARCOCWEL,Non-toxic,
3504,"@user @user @user Well done mate, great start to the season",Non-toxic,
3505,@user Happy birthday my friend ❤,Non-toxic,
3506,@user King Coco! 🔥🔥🔥,Non-toxic,
3507,@user happy brothers,Non-toxic,
3508,@user stretch that hamstring out son we got an fa cup to win,Non-toxic,
3509,@user @user Γάμα τους ανάποδα ρε τζουρι,Toxic,
3510,@user @user ΟΕΟΕΟΕ ΜΑΤΙΕ,Non-toxic,
3511,@user Finnaly you joined a club with ambition. Good luck Kris.,Non-toxic,
3512,@user Get well soon bro,Non-toxic,
3513,@user This is black (m)ba(m)ba mentality We love you keep balling like a true fighter,Non-toxic,
3514,@user @user ORBE!! 💛 🖤 🦅 🇲🇽,Non-toxic,
